subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,word_file,correct_response,response,rt,is_correct
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,0,practice,0,strawberry:nonvisual:yes:4,nonvisual,Does it taste good?,strawberry,strawberry_1.wav,mask,prompt,,,yes,yes,30.6719245855,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,0,practice,1,apple:visual:yes:3,visual,Does it have seeds?,apple,apple_2.wav,mask,prompt,,,yes,no,27.8999796137,0
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,0,practice,2,strawberry:nonvisual:yes:1,nonvisual,Is it a fruit?,strawberry,strawberry_4.wav,nomask,prompt,,,yes,yes,692.452691495,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,0,practice,3,chicken:visual:yes:2,visual,Does it have wings?,chicken,chicken_3.wav,mask,prompt,,,yes,no,402.334387414,0
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,0,practice,4,,,----------,chair,chair_3.wav,nomask,word,chair,chair_4.wav,yes,yes,1158.5779856,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,0,practice,5,,,----------,chair,chair_2.wav,nomask,word,penguin,penguin_1.wav,no,no,954.786566785,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,0,practice,6,rabbit:visual:no:4,visual,Is it flat?,rabbit,rabbit_3.wav,nomask,prompt,,,no,no,372.318319278,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,0,practice,7,,,----------,raccoon,raccoon_1.wav,mask,word,raccoon,raccoon_4.wav,yes,yes,1239.89776452,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,9,lion:nonvisual:yes:1,nonvisual,Is it an animal?,lion,lion_2.wav,mask,prompt,,,yes,yes,116.407290101,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,10,tiger:nonvisual:yes:2,nonvisual,Is it an animal?,tiger,tiger_1.wav,mask,prompt,,,yes,yes,906.593132298,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,11,alligator:visual:yes:4,visual,Does it have a tail?,alligator,alligator_3.wav,nomask,prompt,,,yes,yes,444.837972522,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,12,zebra:nonvisual:yes:4,nonvisual,Does it travel in herds?,zebra,zebra_1.wav,mask,prompt,,,yes,timeout,1250.0,0
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,13,swan:visual:yes:1,visual,Does it have a long neck?,swan,swan_3.wav,mask,prompt,,,yes,yes,343.174165348,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,14,raccoon:visual:yes:3,visual,Does it have eyes?,raccoon,raccoon_1.wav,nomask,prompt,,,yes,yes,347.781163407,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,15,chair:visual:yes:2,visual,Is it made of wood?,chair,chair_2.wav,nomask,prompt,,,yes,timeout,1250.0,0
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,16,lion:visual:yes:1,visual,Does it have a mane?,lion,lion_4.wav,mask,prompt,,,yes,yes,272.178441519,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,17,raccoon:nonvisual:yes:2,nonvisual,Is it furry?,raccoon,raccoon_4.wav,nomask,prompt,,,yes,yes,927.728733514,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,18,camel:visual:yes:4,visual,Is it large?,camel,camel_1.wav,mask,prompt,,,yes,yes,358.920797938,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,19,bottle:nonvisual:yes:3,nonvisual,Is it a container?,bottle,bottle_1.wav,nomask,prompt,,,yes,yes,160.485378467,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,20,deer:visual:yes:5,visual,Does it have a white tail?,deer,deer_2.wav,nomask,prompt,,,yes,yes,851.105897222,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,21,alligator:nonvisual:yes:5,nonvisual,Does it eat people?,alligator,alligator_1.wav,mask,prompt,,,yes,yes,141.318306327,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,22,table:nonvisual:yes:4,nonvisual,Is it furniture?,table,table_4.wav,mask,prompt,,,yes,timeout,1250.0,0
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,23,lion:visual:yes:2,visual,Does it have fur?,lion,lion_4.wav,mask,prompt,,,yes,yes,131.075233221,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,24,pig:visual:no:1,visual,Is it made of glass?,pig,pig_2.wav,mask,prompt,,,no,no,303.633936681,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,25,chicken:visual:yes:1,visual,Does it have feathers?,chicken,chicken_1.wav,mask,prompt,,,yes,yes,321.513622766,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,26,elephant:nonvisual:yes:5,nonvisual,Does it eat peanuts?,elephant,elephant_4.wav,nomask,prompt,,,yes,yes,90.4483124614,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,27,apple:nonvisual:yes:2,nonvisual,Does it grow on trees?,apple,apple_4.wav,nomask,prompt,,,yes,yes,115.971653024,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,28,,,----------,donkey,donkey_2.wav,mask,word,dog,dog_1.wav,no,no,1095.52967851,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,29,pineapple:nonvisual:yes:5,nonvisual,Is it prickly?,pineapple,pineapple_2.wav,nomask,prompt,,,yes,yes,93.4238324407,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,30,pig:nonvisual:yes:1,nonvisual,Is it an animal?,pig,pig_1.wav,mask,prompt,,,yes,yes,81.0041737277,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,31,,,----------,penguin,penguin_4.wav,mask,word,swan,swan_3.wav,no,no,1040.24921893,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,32,apple:nonvisual:yes:5,nonvisual,Is it used for cider?,apple,apple_3.wav,mask,prompt,,,yes,yes,984.117650893,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,33,,,----------,grasshopper,grasshopper_2.wav,mask,word,zebra,zebra_4.wav,no,no,1054.95941313,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,34,,,----------,pineapple,pineapple_4.wav,mask,word,pineapple,pineapple_2.wav,yes,yes,812.198158819,1
PVW216a,216a,2015_Dec_04_0907,LL-Jerry,1,test,35,elephant:nonvisual:no:5,nonvisual,Does it lay eggs?,elephant,elephant_3.wav,nomask,prompt,,,no,no,71.0770254955,1
