subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,word_file,correct_response,response,rt,is_correct
PVW223,223,2015_Dec_04_1225,LL-Kramer,0,practice,0,rabbit:nonvisual:no:5,nonvisual,Is it a fruit?,rabbit,rabbit_2.wav,nomask,prompt,,,no,no,712.001344189,1
PVW223,223,2015_Dec_04_1225,LL-Kramer,0,practice,1,,,----------,swan,swan_2.wav,mask,word,swan,swan_1.wav,yes,timeout,1250.0,0
PVW223,223,2015_Dec_04_1225,LL-Kramer,0,practice,2,apple:visual:no:3,visual,Does it have a beak?,apple,apple_4.wav,mask,prompt,,,no,no,175.129555166,1
PVW223,223,2015_Dec_04_1225,LL-Kramer,0,practice,3,rabbit:nonvisual:yes:2,nonvisual,Is it a pet?,rabbit,rabbit_1.wav,nomask,prompt,,,yes,yes,286.834819242,1
PVW223,223,2015_Dec_04_1225,LL-Kramer,0,practice,4,dog:visual:yes:6,visual,Does it have a top?,dog,dog_1.wav,mask,prompt,,,yes,no,114.181777462,0
PVW223,223,2015_Dec_04_1225,LL-Kramer,0,practice,5,table:nonvisual:yes:2,nonvisual,Is it found in kitchens?,table,table_1.wav,nomask,prompt,,,yes,yes,163.340749219,1
PVW223,223,2015_Dec_04_1225,LL-Kramer,0,practice,6,,,----------,table,table_2.wav,mask,word,table,table_3.wav,yes,yes,70.0081624091,1
PVW223,223,2015_Dec_04_1225,LL-Kramer,0,practice,7,apple:nonvisual:no:3,nonvisual,Is it fast?,apple,apple_2.wav,mask,prompt,,,no,timeout,1250.0,0
PVW223,223,2015_Dec_04_1225,LL-Kramer,1,test,9,donkey:visual:yes:2,visual,Does it have four legs?,donkey,donkey_1.wav,nomask,prompt,,,yes,yes,168.520397507,1
PVW223,223,2015_Dec_04_1225,LL-Kramer,1,test,10,tiger:visual:yes:2,visual,Does it have teeth?,tiger,tiger_1.wav,nomask,prompt,,,yes,yes,92.7209006622,1
PVW223,223,2015_Dec_04_1225,LL-Kramer,1,test,11,,,----------,dog,dog_3.wav,nomask,word,elephant,elephant_3.wav,no,yes,1196.55522332,0
PVW223,223,2015_Dec_04_1225,LL-Kramer,1,test,12,swan:visual:yes:3,visual,Does it have feathers?,swan,swan_3.wav,mask,prompt,,,yes,yes,36.4143839106,1
PVW223,223,2015_Dec_04_1225,LL-Kramer,1,test,13,,,----------,lion,lion_1.wav,nomask,word,lion,lion_4.wav,yes,no,21.2841900066,0
