subj_id,seed,date,computer,block,block_type,trial,proposition_id,feat_type,question,cue,cue_file,mask_type,response_type,word,correct_response,response,rt,is_correct
PVW105,105,2015_Dec_01_1507,LL-Kramer,0,practice,0,giraffe:visual:no:1,visual,Is it green?,giraffe,giraffe_3.wav,nomask,word,tiger,no,timeout,1250.0,0
PVW105,105,2015_Dec_01_1507,LL-Kramer,0,practice,1,mouse:nonvisual:yes:1,nonvisual,Is it a rodent?,mouse,swan_3.wav,mask,word,mouse,yes,no,659.242353402,0
PVW105,105,2015_Dec_01_1507,LL-Kramer,0,practice,2,elephant:visual:yes:4,visual,Does it have a tail?,elephant,elephant_2.wav,mask,word,elephant,yes,yes,731.867228635,1
PVW105,105,2015_Dec_01_1507,LL-Kramer,0,practice,3,giraffe:visual:yes:4,visual,Is it brown?,giraffe,giraffe_3.wav,nomask,word,giraffe,yes,timeout,1250.0,0
PVW105,105,2015_Dec_01_1507,LL-Kramer,0,practice,4,deer:visual:yes:3,visual,Does it have eyes?,deer,deer_3.wav,nomask,word,deer,yes,yes,701.056607999,1
PVW105,105,2015_Dec_01_1507,LL-Kramer,0,practice,5,raccoon:nonvisual:yes:4,nonvisual,Does it produce offspring?,raccoon,table_1.wav,nomask,prompt,,yes,no,174.902614206,0
PVW105,105,2015_Dec_01_1507,LL-Kramer,0,practice,6,pineapple:visual:no:2,visual,Does it have a seat?,pineapple,pineapple_4.wav,nomask,word,giraffe,no,timeout,1250.0,0
PVW105,105,2015_Dec_01_1507,LL-Kramer,0,practice,7,alligator:visual:yes:2,visual,Is it long?,alligator,alligator_1.wav,nomask,word,alligator,yes,yes,228.021061979,1
PVW105,105,2015_Dec_01_1507,LL-Kramer,1,test,9,camel:nonvisual:yes:5,nonvisual,Does it spit?,camel,camel_1.wav,mask,prompt,,yes,yes,383.330506273,1
PVW105,105,2015_Dec_01_1507,LL-Kramer,1,test,10,apple:visual:yes:5,visual,Does it have a core?,apple,bottle_2.wav,mask,prompt,,yes,no,701.515291817,0
PVW105,105,2015_Dec_01_1507,LL-Kramer,1,test,11,tiger:visual:yes:2,visual,Does it have teeth?,tiger,tiger_4.wav,nomask,prompt,,yes,yes,578.314741142,1
PVW105,105,2015_Dec_01_1507,LL-Kramer,1,test,12,alligator:nonvisual:yes:3,nonvisual,Does it live in swamps?,alligator,alligator_3.wav,mask,word,alligator,yes,yes,479.902372696,1
PVW105,105,2015_Dec_01_1507,LL-Kramer,1,test,13,deer:visual:yes:5,visual,Does it have a white tail?,deer,deer_2.wav,nomask,word,deer,yes,yes,420.774290338,1
PVW105,105,2015_Dec_01_1507,LL-Kramer,1,test,14,elephant:visual:no:2,visual,Does it have scales?,elephant,elephant_4.wav,nomask,prompt,,no,no,358.620424755,1
PVW105,105,2015_Dec_01_1507,LL-Kramer,1,test,15,pineapple:visual:yes:3,visual,Does it have skin?,pineapple,pineapple_4.wav,mask,prompt,,yes,no,272.476673126,0
PVW105,105,2015_Dec_01_1507,LL-Kramer,1,test,16,mouse:nonvisual:yes:5,nonvisual,Does it eat cheese?,mouse,mouse_2.wav,nomask,prompt,,yes,yes,419.255157933,1
PVW105,105,2015_Dec_01_1507,LL-Kramer,1,test,17,tiger:visual:yes:5,visual,Does it have large teeth?,tiger,tiger_3.wav,mask,prompt,,yes,yes,465.499095619,1
